ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-75205,Dissolution of Fibrin Clot,2/6,13/10899,1.964775660077729e-5,5.894326980233187e-4,2.895458867482969e-4,SERPINE1/PLAUR,2
R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),2/6,125/10899,0.001899263339453833,0.028488950091807498,0.013994571974922982,IGFBP6/PRSS23,2
R-HSA-1474244,Extracellular matrix organization,2/6,300/10899,0.010526797187229849,0.07569780935198182,0.0371848888044823,SERPINE1/ITGA5,2
R-HSA-445144,Signal transduction by L1,1/6,21/10899,0.011507776360316413,0.07569780935198182,0.0371848888044823,ITGA5,1
R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian gene expression",1/6,27/10899,0.014775366404042645,0.07569780935198182,0.0371848888044823,SERPINE1,1
R-HSA-5694530,Cargo concentration in the ER,1/6,33/10899,0.01803395027994803,0.07569780935198182,0.0371848888044823,CTSC,1
R-HSA-2173796,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,1/6,36/10899,0.019659871115402017,0.07569780935198182,0.0371848888044823,SERPINE1,1
R-HSA-1566948,Elastic fibre formation,1/6,44/10899,0.02398469561678862,0.07569780935198182,0.0371848888044823,ITGA5,1
R-HSA-9634597,GPER1 signaling,1/6,45/10899,0.024524178972504806,0.07569780935198182,0.0371848888044823,ITGA5,1
R-HSA-6798695,Neutrophil degranulation,2/6,482/10899,0.026005553856737734,0.07569780935198182,0.0371848888044823,PLAUR/CTSC,2
R-HSA-2173793,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,1/6,51/10899,0.02775586342906,0.07569780935198182,0.0371848888044823,SERPINE1,1
R-HSA-204005,COPII-mediated vesicle transport,1/6,68/10899,0.03686389024277337,0.0875324589467915,0.04299840088614319,CTSC,1
R-HSA-400253,Circadian Clock,1/6,70/10899,0.03793073221027632,0.0875324589467915,0.04299840088614319,SERPINE1,1
R-HSA-3000178,ECM proteoglycans,1/6,76/10899,0.041125351359835194,0.0877263586595571,0.04309364986785261,SERPINE1,1
R-HSA-216083,Integrin cell surface interactions,1/6,85/10899,0.04590070209377117,0.0877263586595571,0.04309364986785261,ITGA5,1
R-HSA-163125,Post-translational modification: synthesis of GPI-anchored proteins,1/6,92/10899,0.04960114743303068,0.0877263586595571,0.04309364986785261,PLAUR,1
R-HSA-170834,Signaling by TGF-beta Receptor Complex,1/6,93/10899,0.05012880479542525,0.0877263586595571,0.04309364986785261,SERPINE1,1
R-HSA-8957275,Post-translational protein phosphorylation,1/6,108/10899,0.05801441777958205,0.0877263586595571,0.04309364986785261,PRSS23,1
R-HSA-373760,L1CAM interactions,1/6,119/10899,0.06376246343913372,0.0877263586595571,0.04309364986785261,ITGA5,1
R-HSA-8878166,Transcriptional regulation by RUNX2,1/6,121/10899,0.06480441563878303,0.0877263586595571,0.04309364986785261,ITGA5,1
R-HSA-9006936,Signaling by TGFB family members,1/6,122/10899,0.0653250292504145,0.0877263586595571,0.04309364986785261,SERPINE1,1
R-HSA-2132295,MHC class II antigen presentation,1/6,123/10899,0.065845401322837,0.0877263586595571,0.04309364986785261,CTSC,1
R-HSA-114608,Platelet degranulation ,1/6,129/10899,0.0689625664530904,0.0877263586595571,0.04309364986785261,SERPINE1,1
R-HSA-76005,Response to elevated platelet cytosolic Ca2+,1/6,134/10899,0.07155357815607843,0.0877263586595571,0.04309364986785261,SERPINE1,1
R-HSA-202733,Cell surface interactions at the vascular wall,1/6,137/10899,0.07310529888296424,0.0877263586595571,0.04309364986785261,ITGA5,1
R-HSA-199977,ER to Golgi Anterograde Transport,1/6,154/10899,0.08185762027494037,0.09266108294066897,0.045517724953311064,CTSC,1
R-HSA-418555,G alpha (s) signalling events,1/6,157/10899,0.08339497464660206,0.09266108294066897,0.045517724953311064,ITGA5,1
R-HSA-948021,Transport to the Golgi and subsequent modification,1/6,185/10899,0.09764046343139376,0.10461478224792188,0.051389717595470404,CTSC,1
R-HSA-76002,"Platelet activation, signaling and aggregation",1/6,263/10899,0.13635498280024705,0.14105687875887626,0.06929109833769359,SERPINE1,1
R-HSA-446203,Asparagine N-linked glycosylation,1/6,304/10899,0.1561433153330115,0.1561433153330115,0.07670197946183022,CTSC,1
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,3/6,200/4383,0.001690249086447489,0.00957807815653577,0.006523768403832415,SERPINE1/PLAUR/CTSC,3
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,3/6,200/4383,0.001690249086447489,0.00957807815653577,0.006523768403832415,SERPINE1/PLAUR/ITGA5,3
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,3/6,200/4383,0.001690249086447489,0.00957807815653577,0.006523768403832415,SERPINE1/PLAUR/ITGA5,3
HALLMARK_COAGULATION,HALLMARK_COAGULATION,2/6,138/4383,0.013584848571427326,0.057735606428566136,0.039324561654131736,SERPINE1/PRSS23,2
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,2/6,200/4383,0.027522411558981566,0.07798016608378111,0.053113425815578465,SERPINE1/PLAUR,2
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,2/6,200/4383,0.027522411558981566,0.07798016608378111,0.053113425815578465,SERPINE1/PLAUR,2
HALLMARK_APICAL_SURFACE,HALLMARK_APICAL_SURFACE,1/6,44/4383,0.05877383339429676,0.1427364525290064,0.09721987478755856,PLAUR,1
HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,1/6,54/4383,0.07172183450594272,0.15240889832512827,0.10380791836386447,SERPINE1,1
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,1/6,74/4383,0.09717288402193891,0.18354878093032906,0.1250177455253015,PLAUR,1
HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,1/6,96/4383,0.12449472718956534,0.21164103622226108,0.14415178937739145,CTSC,1
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,1/6,144/4383,0.18172149554570083,0.24451257632826784,0.16654107366012053,SERPINE1,1
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,1/6,161/4383,0.20122617710330581,0.24451257632826784,0.16654107366012053,IGFBP6,1
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,1/6,200/4383,0.24451257632826784,0.24451257632826784,0.16654107366012053,PRSS23,1
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,1/6,200/4383,0.24451257632826784,0.24451257632826784,0.16654107366012053,PRSS23,1
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,1/6,200/4383,0.24451257632826784,0.24451257632826784,0.16654107366012053,PLAUR,1
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,1/6,200/4383,0.24451257632826784,0.24451257632826784,0.16654107366012053,CTSC,1
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,1/6,200/4383,0.24451257632826784,0.24451257632826784,0.16654107366012053,SERPINE1,1
VERHAAK_GLIOBLASTOMA_MESENCHYMAL,VERHAAK_GLIOBLASTOMA_MESENCHYMAL,5/7,216/21728,1.9155050277913956e-9,9.462594837289494e-7,2.681707038907954e-7,SERPINE1/PLAUR/CTSC/ITGA5/IGFBP6,5
