,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,Interferon Gamma Response,0.6380881003541257,3.3114186067943865,0.0,0.0,0.0,109/170,20.66%,CD74;FCGR1A;HLA-DMA;PTPN6;IRF5;GZMA;CCL5;CD86;IRF8;ITGB7;RTP4;CD69;PARP12;TNFSF10;CD38;FGL2;MX1;DHX58;IFIT1;HLA-DRB1;LCP2;IFIH1;IFI44L;CSF2RB;MX2;IL10RA;HERC6;VAMP8;IFIT2;OAS2;IFI35;RSAD2;IFI27;CFB;IFIT3;IL15;BST2;PSMB10;TDRD7;FPR1;CMKLR1;SSPN;JAK2;VCAM1;SLAMF7;OAS3;ISG15;TRIM21;IFITM2;CIITA;ZBP1;OASL;GCH1;IL2RB;IRF7;IFI30;TAPBP;HLA-B;IRF2;IFI44;SERPING1;CASP1;TRIM14;IRF9;PSMB9;XAF1;CD40;DDX58;IL4R;TNFAIP2;CXCL10;B2M;P2RY14;IL15RA;NMI;LY6E;LAP3;PSMB8;BANK1;CCL2;USP18;MYD88;APOL6;STAT4;CXCL9;LGALS3BP;PSME2;HLA-G;HLA-A;UBE2L6;CXCL11;CASP8;STAT2;PLA2G4A;PSME1;C1S;RBCK1;TRIM25;PLSCR1;CASP4;KLRK1;SAMHD1;VAMP5;TNFAIP3;XCL1;GPR18;IFITM3;CFH;PIM1
1,prerank,Interferon Alpha Response,0.7191049645829114,3.232546335504885,0.0,0.0,0.0,54/76,17.23%,CD74;SELL;GMPR;RTP4;PARP12;MX1;DHX58;OAS1;IFIH1;IFI44L;HERC6;IFIT2;IFITM1;IFI35;RSAD2;IFI27;IFIT3;IL15;BST2;TDRD7;ISG15;TRIM21;TMEM140;IFITM2;OASL;HLA-C;IRF7;IFI30;IRF2;IFI44;CASP1;TRIM14;IRF9;PSMB9;IL4R;CXCL10;B2M;PROCR;NMI;LY6E;LAP3;PSMB8;SAMD9;USP18;LGALS3BP;PSME2;UBE2L6;CXCL11;CASP8;STAT2;PSME1;C1S;TRIM25;PLSCR1
2,prerank,Allograft Rejection,0.5770522305073572,3.1177675649591565,0.0,0.0,0.0,86/175,15.20%,ITGAL;LY86;CD74;MAP4K1;SPI1;IGSF6;HLA-DMB;HLA-DMA;PTPN6;HLA-E;IL16;ITGB2;CD4;TLR3;CD3D;LCK;GZMA;CCL5;CD86;IRF8;HCLS1;IL2RG;CD2;GPR65;IL18;WAS;HLA-DRA;LTB;PTPRC;HLA-DOA;TLR1;C2;LYN;NCF4;CCR5;CD7;LCP2;CTSS;IFNGR1;CAPG;CCR1;CD3E;TLR2;IL15;PSMB10;CD3G;JAK2;CCL4;HLA-DOB;IL2RB;TNF;IRF7;TAPBP;CD8B;CCR2;CDKN2A;TRAT1;CD79A;NLRP3;GZMB;CRTAM;CD96;CD1D;KLRD1;CD40;IL12RB1;SIT1;IL4R;B2M;IL10;LY75;FGR;CD247;CD40LG;CCL2;CSK;STAT4;CXCL9;CXCR3;CXCL13;HLA-G;HLA-A;SRGN;ICOSLG;STAB1;TGFB1
3,prerank,Myc Targets V1,-0.5377883433260431,-2.858292010726104,0.0,0.0,0.0,109/177,30.19%,PWP1;DHX15;ABCE1;HNRNPA1;DDX21;XPOT;CCT2;SNRPA1;FBL;MYC;RPS2;PGK1;SRPK1;SF3B3;CCT5;GSPT1;KPNA2;RPLP0;RAD23B;XPO1;CCT7;GNL3;LDHA;PHB2;PSMD7;NPM1;HSPD1;PRDX4;CCNA2;PSMD8;EIF4A1;SLC25A3;CBX3;ILF2;USP1;SMARCC1;YWHAQ;EIF4G2;HNRNPR;RANBP1;FAM120A;ODC1;PA2G4;CDC20;HSP90AB1;SET;CSTF2;RAN;SYNCRIP;TCP1;PSMA4;SNRPD1;RPL18;SNRPB2;TRIM28;RPL6;RRM1;VDAC1;TXNL4A;CCT4;HDAC2;PSMC6;PSMD3;CDK2;SF3A1;COX5A;MAD2L1;SNRPA;RPS5;EIF3J;ETF1;SNRPD3;PSMA7;DDX18;VBP1;KPNB1;EIF3D;TARDBP;RSL1D1;PPIA;HNRNPC;PRPF31;EIF2S2;BUB3;RPL14;MCM4;TYMS;MCM6;SSB;EIF1AX;MRPL9;PSMB2;HNRNPU;SRM;PSMD14;PABPC4;UBE2E1;RPS10;SERBP1;CDK4;GOT2;EIF4H;ACP1;PSMC4;PSMA1;PABPC1;EIF2S1;RFC4;DEK
4,prerank,G2-M Checkpoint,-0.5506753873014969,-2.853449642292483,0.0,0.0,0.0,130/175,33.88%,MYC;ABL1;HIRA;CUL5;UCK2;GSPT1;UBE2S;KPNA2;RAD23B;TOP1;DBF4;XPO1;AURKA;CDC27;KIF5B;MAPK14;CENPE;BRCA2;KIF23;RAD21;MKI67;CCNB2;PRC1;CCNA2;PLK4;RACGAP1;BUB1;STIL;SQLE;LBR;ESPL1;PRPF4B;SMC4;TNPO2;INCENP;ILF3;SMARCC1;PLK1;CCNF;MYBL2;AURKB;TTK;MTF2;ODC1;CDC20;FBXO5;PBK;CENPF;SYNCRIP;NEK2;STAG1;TROAP;UBE2C;SNRPD1;LIG3;NDC80;CTCF;CUL3;KIF2C;HMGA1;SLC38A1;CUL4A;CHAF1A;CENPA;BARD1;SLC7A1;POLE;KIF11;MAD2L1;WRN;TOP2A;EXO1;PTTG1;MNAT1;YTHDC1;CDKN3;PRMT5;SFPQ;POLQ;CDC6;KPNB1;BIRC5;E2F3;HMMR;NCL;TPX2;NUSAP1;ARID4A;KIF4A;HMGB3;TMPO;BCL3;POLA2;BUB3;SMC1A;RAD54L;PDS5B;CASP8AP2;MCM6;DR1;HNRNPU;CCND1;CHEK1;PAFAH1B1;NUP98;NUP50;EZH2;CCNT1;GINS2;SLC12A2;DKC1;CDK4;KATNA1;KIF15;EWSR1;HUS1;TACC3;HIF1A;CDC25A;RASAL2;SMC2;NOLC1;TRAIP;CKS1B;LMNB1;CDC25B;ATRX;ODF2;NASP;CKS2
5,prerank,E2F Targets,-0.5574992467467995,-2.8002124570368827,0.0,0.0,0.0,118/160,33.88%,MYC;TRIP13;GSPT1;RAD51C;UBE2S;ZW10;KPNA2;XPO1;PPM1D;CSE1L;AURKA;SMC6;DNMT1;RAD1;CENPE;BRCA2;SPAG5;RAD21;MKI67;CCNB2;PRDX4;TK1;PLK4;RACGAP1;PAICS;LBR;RFC3;RRM2;PPP1R8;ESPL1;MELK;SMC4;USP1;ILF3;PLK1;SMC3;MYBL2;AURKB;RANBP1;BUB1B;PA2G4;EXOSC8;CDC20;WEE1;RAN;SYNCRIP;STAG1;SNRPB;NUP107;TIPIN;CTCF;SLBP;RBBP7;KIF2C;HMGA1;SPC25;BARD1;ATAD2;RAD51AP1;TUBG1;POLE;NUDT21;MAD2L1;TOP2A;GINS1;DEPDC1;PTTG1;PNN;TUBB;CDKN3;NUP153;TBRG4;E2F8;CDCA3;ANP32E;BIRC5;HMMR;KIF4A;TIMELESS;HMGB3;TMPO;POLA2;SMC1A;MCM4;PDS5B;MCM6;RNASEH2A;POLD1;CDCA8;RFC1;POLD3;CHEK1;NUP205;EZH2;NCAPD2;ASF1B;CDK4;PRKDC;CCNE1;GINS4;HUS1;TACC3;EIF2S1;DEK;CDC25A;LIG1;DCLRE1B;CENPM;MCM7;NOLC1;CKS1B;LMNB1;CDC25B;SSRP1;MTHFD2;NASP;EED;CKS2
6,prerank,Inflammatory Response,0.47089189567118284,2.497336172251032,0.0,0.0,0.0,69/180,16.62%,EBI3;SELL;C3AR1;CSF3R;TLR3;OLR1;LCK;CCL5;CD48;RTP4;IL18;PIK3R5;CD69;TNFSF10;TLR1;PTAFR;LYN;CYBB;LCP2;IL10RA;IFITM1;RHOG;TLR2;IL15;BST2;AXL;CD14;FPR1;CMKLR1;TNFRSF1B;VIP;GPR132;GCH1;IL2RB;IRF7;TAPBP;BEST1;PTGER4;NLRP3;SEMA4D;SLC31A2;GNA15;CXCR6;MSR1;P2RX4;KCNJ2;CD40;SLAMF1;IL4R;TNFRSF9;CXCL10;IL1A;IL10;HPN;IL15RA;NMI;LY6E;CCL2;CXCL9;PTGER2;ICOSLG;CXCL11;IL7R;STAB1;NOD2;P2RY2;MEP1A;BTG2;C5AR1
7,prerank,Myc Targets V2,-0.5480636212305978,-2.318339080462704,0.0,0.0,0.0,30/51,24.86%,UTP20;MPHOSPH10;MYC;PPAN;BYSL;PPRC1;SUPV3L1;GRWD1;GNL3;NPM1;TFB2M;HSPD1;RABEPK;PLK4;FARSA;CBX3;PLK1;PUS1;PA2G4;IMP4;WDR74;NIP7;PES1;MRTO4;TBRG4;IPO4;DDX18;NOC4L;RRP12;MCM4
8,prerank,IL-6/JAK/STAT3 Signaling,0.49364118968991727,2.2112604852559787,0.0,0.0,0.0,33/80,19.19%,EBI3;CSF3R;IL2RG;LTB;PIK3R5;CD38;IFNGR1;CSF2RB;CCR1;TLR2;CD14;TNFRSF1B;TNF;IL13RA1;IRF9;IL12RB1;IL4R;CXCL10;MAP3K8;IL15RA;MYD88;A2M;CXCL9;CXCL13;CXCL11;TGFB1;STAT2;HMOX1;LTBR;IL17RB;IL1B;IL17RA;GRB2
9,prerank,Complement,0.42196079759507127,2.1671634424829316,0.0,0.0,0.0,54/169,12.97%,APOC1;OLR1;LCK;GZMA;CCL5;CTSH;PLEK;C3;GZMK;WAS;C1QA;PIK3R5;FCER1G;PRKCD;LTF;C2;LYN;CSRP1;LCP2;ITGAM;CTSS;RHOG;CFB;HPCAL4;SERPINA1;APOBEC3G;JAK2;CLU;GNAI2;IRF7;F8;CPM;LGMN;IRF2;KLKB1;CP;SERPING1;CASP1;PCLO;PIK3CG;GZMB;CTSD;LIPA;CTSO;APOBEC3F;PSMB9;CTSC;KYNU;PRCP;CD40LG;LAP3;GCA;S100A9;CASP10
