CMF_ID,CMFlow,Mutation,Pathway,MutationSymbol,RegulatorSymbol,Regulon,MutationEnsembl,RegulatorEnsembl,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons,CMFlowType
CMF-31218,SHP2_SIGNALING_up_IRF2_up_424,SHP2_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,SHP2_SIGNALING,NA,IRF2,424,NA,ENSG00000168310,1,2.0894406397081138,0.6305761837478454,4.321443278227655e-62,2.6195866054554475,2.0023324593940446,1,0.24,25,6,Mutated Pathway
CMF-31225,SHP2_SIGNALING_up_TP53_up_1776,SHP2_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,SHP2_SIGNALING,NA,TP53,1776,NA,ENSG00000141510,1,1.6824539998621906,0.3461617634801988,7.164278224062914e-17,1.9833050298680177,1.3041081072587106,1,0.3076923076923077,13,4,Mutated Pathway
CMF-31226,SHP2_SIGNALING_up_TP53_up_1778,SHP2_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,SHP2_SIGNALING,NA,TP53,1778,NA,ENSG00000141510,1,1.6824539998621906,0.3570823395377968,6.353559353299427e-18,2.2325463415832023,1.5626308848435628,1,0.3076923076923077,13,4,Mutated Pathway
CMF-31237,SHP2_SIGNALING_up_TEAD3_up_2105,SHP2_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,SHP2_SIGNALING,NA,TEAD3,2105,NA,ENSG00000007866,1,1.8217962386583,0.5335449881750819,1.214004678852307e-41,2.1571541067648305,1.4821978951365875,1,0.1333333333333333,15,2,Mutated Pathway
CMF-31239,SHP2_SIGNALING_up_MEOX2_up_2196,SHP2_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,SHP2_SIGNALING,NA,MEOX2,2196,NA,ENSG00000106511,1,1.7222050916538645,0.3865662833822511,5.647822511674906e-21,2.39204234245132,1.7324324316670574,1,0.2142857142857142,14,3,Mutated Pathway
CMF-31241,SHP2_SIGNALING_up_MEOX2_up_2199,SHP2_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,SHP2_SIGNALING,NA,MEOX2,2199,NA,ENSG00000106511,1,1.7222050916538645,0.3282088010817104,3.1429806977587704e-15,2.7097768733339263,2.110665243744148,1,0.2142857142857142,14,3,Mutated Pathway
CMF-31249,SHP2_SIGNALING_up_STAT5A_up_2945,SHP2_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,SHP2_SIGNALING,NA,STAT5A,2945,NA,ENSG00000126561,1,2.430493136732421,0.5468429441009107,4.657683886064093e-44,2.264387798925248,1.5976965232074871,1,0.1428571428571428,21,3,Mutated Pathway
CMF-31260,SHP2_SIGNALING_dn_TEF_dn_2660,SHP2_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,SHP2_SIGNALING,NA,TEF,2660,NA,ENSG00000167074,-1,2.9179683074589144,-0.3088105830629313,1.4243048031651916e-13,2.53075143340278,1.8969496405995392,1,0.2666666666666666,15,4,Mutated Pathway
CMF-31262,SHP2_SIGNALING_dn_TEF_dn_2656,SHP2_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,SHP2_SIGNALING,NA,TEF,2656,NA,ENSG00000167074,-1,2.9179683074589144,-0.2692209335724203,1.4883099319896094e-10,2.3889396004276544,1.7347869629480697,1,0.2666666666666666,15,4,Mutated Pathway
CMF-31263,SHP2_SIGNALING_dn_TEF_dn_2659,SHP2_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,SHP2_SIGNALING,NA,TEF,2659,NA,ENSG00000167074,-1,2.9179683074589144,-0.2144542041734928,4.023134545220901e-7,2.27671398507634,1.6096570455240422,1,0.2666666666666666,15,4,Mutated Pathway
CMF-31268,SHP2_SIGNALING_up_MAX_up_3501,SHP2_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,SHP2_SIGNALING,NA,MAX,3501,NA,ENSG00000125952,1,1.3874529993235725,0.3639087295554118,1.3313797382120963e-18,2.182580930523564,1.5086673573644471,1,0.1666666666666666,18,3,Mutated Pathway
CMF-31270,SHP2_SIGNALING_up_MSX1_up_2820,SHP2_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,SHP2_SIGNALING,NA,MSX1,2820,NA,ENSG00000163132,1,1.519239787187023,0.2254412094879062,9.59601358565747e-8,2.230729898863549,1.5552196338866269,1,0.1666666666666666,12,2,Mutated Pathway
CMF-31295,CLASS_I_PI3K_SIGNALING_EVENTS_up_IRF2_up_413,CLASS_I_PI3K_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,CLASS_I_PI3K_SIGNALING_EVENTS,NA,IRF2,413,NA,ENSG00000168310,1,1.393418392323258,0.5062217087748674,5.301978570420942e-37,2.160746659573601,1.4875504998693094,1,0.16,25,4,Mutated Pathway
CMF-31302,CLASS_I_PI3K_SIGNALING_EVENTS_up_NFKB1_up_290,CLASS_I_PI3K_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,CLASS_I_PI3K_SIGNALING_EVENTS,NA,NFKB1,290,NA,ENSG00000109320,1,1.6626841585962189,0.5780566007894071,3.560151717202659e-50,2.126666975531956,1.4514579543043655,1,0.12,25,3,Mutated Pathway
CMF-31308,CLASS_I_PI3K_SIGNALING_EVENTS_up_LEF1_up_1412,CLASS_I_PI3K_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,CLASS_I_PI3K_SIGNALING_EVENTS,NA,LEF1,1412,NA,ENSG00000138795,1,1.4413411584794105,0.4779310123053089,1.277745479584325e-32,2.950139824829923,2.426768963262214,1,0.2222222222222222,18,4,Mutated Pathway
CMF-31312,CLASS_I_PI3K_SIGNALING_EVENTS_up_MAF_up_173,CLASS_I_PI3K_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,CLASS_I_PI3K_SIGNALING_EVENTS,NA,MAF,173,NA,ENSG00000178573,1,1.3699691899579485,0.6170707731176914,8.239666989494836e-59,2.1675020253334507,1.4946657377001986,1,0.1052631578947368,19,2,Mutated Pathway
CMF-31315,CLASS_I_PI3K_SIGNALING_EVENTS_up_EGR1_up_1006,CLASS_I_PI3K_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,CLASS_I_PI3K_SIGNALING_EVENTS,NA,EGR1,1006,NA,ENSG00000120738,1,1.591588838906442,0.4048415479927317,4.998877642734551e-23,2.3510579846420105,1.693229010123592,1,0.1,20,2,Mutated Pathway
CMF-31322,CLASS_I_PI3K_SIGNALING_EVENTS_up_STAT5A_up_2950,CLASS_I_PI3K_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,CLASS_I_PI3K_SIGNALING_EVENTS,NA,STAT5A,2950,NA,ENSG00000126561,1,1.350754952205083,0.373704675066504,1.3227228291549273e-19,2.7026627724024226,2.109970525854575,1,0.238095238095238,21,5,Mutated Pathway
CMF-31325,CLASS_I_PI3K_SIGNALING_EVENTS_dn_EMX1_dn_3049,CLASS_I_PI3K_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,CLASS_I_PI3K_SIGNALING_EVENTS,NA,EMX1,3049,NA,ENSG00000135638,-1,1.44286999039664,-0.1893966686272492,8.044211565590589e-6,2.1174596131037644,1.4447107335596578,1,0.2142857142857142,14,3,Mutated Pathway
CMF-31331,CLASS_I_PI3K_SIGNALING_EVENTS_up_STAT5B_up_1544,CLASS_I_PI3K_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,CLASS_I_PI3K_SIGNALING_EVENTS,NA,STAT5B,1544,NA,ENSG00000173757,1,2.204397376925938,0.3095310289441794,1.242301488056027e-13,2.630378579515696,2.022678716466604,1,0.2222222222222222,9,2,Mutated Pathway
CMF-31332,CLASS_I_PI3K_SIGNALING_EVENTS_up_STAT5B_up_1546,CLASS_I_PI3K_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,CLASS_I_PI3K_SIGNALING_EVENTS,NA,STAT5B,1546,NA,ENSG00000173757,1,2.204397376925938,0.3334209151935545,1.0754817973793922e-15,3.035917832506724,2.541815121273204,1,0.2222222222222222,9,2,Mutated Pathway
CMF-31340,CLASS_I_PI3K_SIGNALING_EVENTS_up_IRF8_up_403,CLASS_I_PI3K_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,CLASS_I_PI3K_SIGNALING_EVENTS,NA,IRF8,403,NA,ENSG00000140968,1,1.7033213836459609,0.5177106888466007,6.675741630067183e-39,2.304734290112183,1.646341869165023,1,0.1666666666666666,18,3,Mutated Pathway
CMF-31341,CLASS_I_PI3K_SIGNALING_EVENTS_up_IRF8_up_395,CLASS_I_PI3K_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,CLASS_I_PI3K_SIGNALING_EVENTS,NA,IRF8,395,NA,ENSG00000140968,1,1.7033213836459609,0.7453727209970484,3.218545139303933e-98,2.127744091668875,1.4528088499463667,1,0.1666666666666666,18,3,Mutated Pathway
CMF-31345,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING_up_TEAD1_up_2395,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING,NA,TEAD1,2395,NA,ENSG00000187079,1,1.3155277185830585,0.2799146584577314,2.5321528126601643e-11,2.3925571133083654,1.682070261102599,1,0.2,15,3,Mutated Pathway
CMF-31348,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING_up_IRF2_up_417,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING,NA,IRF2,417,NA,ENSG00000168310,1,2.5245827667405045,0.3914883194251179,1.6273788437504803e-21,2.020201062936348,1.3065331688311634,1,0.28,25,7,Mutated Pathway
CMF-31350,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING_up_IRF2_up_424,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING,NA,IRF2,424,NA,ENSG00000168310,1,2.5245827667405045,0.6305761837478454,4.321443278227655e-62,2.7183591206589908,2.0433536051907435,1,0.28,25,7,Mutated Pathway
CMF-31367,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING_up_EP300_up_3413,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING,NA,EP300,3413,NA,ENSG00000100393,1,1.6005252834207535,0.4573433387023632,1.116122837716226e-29,2.3382397647749213,1.6240375915911534,1,0.2,5,1,Mutated Pathway
CMF-31368,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING_up_MEOX2_up_2196,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING,NA,MEOX2,2196,NA,ENSG00000106511,1,1.407404558432264,0.3865662833822511,5.647822511674906e-21,2.826457594645174,2.165529175143794,1,0.3571428571428571,14,5,Mutated Pathway
CMF-31372,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING_up_MEOX2_up_2199,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING,NA,MEOX2,2199,NA,ENSG00000106511,1,1.407404558432264,0.3282088010817104,3.1429806977587704e-15,3.1708738289975056,2.5784898779885483,1,0.3571428571428571,14,5,Mutated Pathway
CMF-31382,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING_up_STAT5B_up_1544,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING,NA,STAT5B,1544,NA,ENSG00000173757,1,1.5780115411826534,0.3095310289441794,1.242301488056027e-13,2.936319830759807,2.287719323909497,1,0.3333333333333333,9,3,Mutated Pathway
CMF-31389,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING_dn_E2F2_dn_548,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ANGIOPOIETIN_RECEPTOR_TIE2_MEDIATED_SIGNALING,NA,E2F2,548,NA,ENSG00000282899,-1,1.448776495451079,-0.1999648238490803,2.380556624614218e-6,2.3018256825501817,1.5861441524516244,1,0.3333333333333333,3,1,Mutated Pathway
CMF-31397,CXCR3_MEDIATED_SIGNALING_EVENTS_dn_E2F1_up_530,CXCR3_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,CXCR3_MEDIATED_SIGNALING_EVENTS,NA,E2F1,530,ENSG00000186810,ENSG00000101412,-1,1.807960726726864,0.6201656764623934,1.50771877898473e-59,-2.172076819323716,1.452144843710257,1,0.1111111111111111,18,2,Mutated Pathway
CMF-31401,IL3_MEDIATED_SIGNALING_EVENTS_up_IRF2_up_424,IL3_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,IL3_MEDIATED_SIGNALING_EVENTS,NA,IRF2,424,ENSG00000164399,ENSG00000168310,1,2.6131565641923853,0.6305761837478454,4.321443278227655e-62,2.039805665981116,1.3134901177306944,1,0.24,25,6,Mutated Pathway
CMF-31415,IL3_MEDIATED_SIGNALING_EVENTS_up_STAT5A_up_2940,IL3_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,IL3_MEDIATED_SIGNALING_EVENTS,NA,STAT5A,2940,ENSG00000164399,ENSG00000126561,1,2.0929959052821783,0.5569341388555225,5.7705157060300484e-46,2.173720758500675,1.4374254559183104,1,0.1428571428571428,21,3,Mutated Pathway
CMF-31420,IL3_MEDIATED_SIGNALING_EVENTS_up_STAT5B_up_1544,IL3_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,IL3_MEDIATED_SIGNALING_EVENTS,NA,STAT5B,1544,ENSG00000164399,ENSG00000173757,1,2.040386210613921,0.3095310289441794,1.242301488056027e-13,2.250408599010414,1.5122233008509092,1,0.3333333333333333,9,3,Mutated Pathway
CMF-31426,IL3_MEDIATED_SIGNALING_EVENTS_up_KLF4_up_2120,IL3_MEDIATED_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,IL3_MEDIATED_SIGNALING_EVENTS,NA,KLF4,2120,ENSG00000164399,ENSG00000136826,1,1.3100224256960549,0.3135864164055618,5.714192364183687e-14,2.147795634221892,1.4117108179347584,1,0.3,10,3,Mutated Pathway
CMF-31433,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_up_IRF2_up_418,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,IRF2,418,NA,ENSG00000168310,1,2.326693053454598,0.5120829422137656,5.8103696319167e-38,2.140835480775156,1.4661392107418387,1,0.28,25,7,Mutated Pathway
CMF-31434,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_up_IRF2_up_424,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,IRF2,424,NA,ENSG00000168310,1,2.326693053454598,0.6305761837478454,4.321443278227655e-62,2.9456825127309285,2.408042223395149,1,0.28,25,7,Mutated Pathway
