,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
1510,USP35_code_potential_somatic,hsa-mir-186,R-1510,1.0,1.984742472341114,-0.22320904035406,2.078538619395735e-07,-3.46964362938278,1.3942216100657516,1.0,0.1,10,1
1459,TPTE_code_potential_somatic,hsa-mir-139,R-1459,-1.0,3.4128908346459363,-0.3187751762002789,5.5428324983449195e-14,2.8249167246514584,1.356198876811208,1.0,0.0344827586206896,58,2
1820,TPTE_code_potential_somatic,hsa-mir-139,R-1820,-1.0,3.4128908346459363,-0.3204059107608996,4.0596542057475885e-14,3.4697633915792694,1.6531822073468918,1.0,0.0344827586206896,58,2
1459,TPTE_code_potential_somatic,hsa-mir-218,R-1459,-1.0,1.6500212375792345,-0.2407256029109234,2.0050835737623428e-08,2.8249167246514584,1.356198876811208,1.0,0.1428571428571428,14,2
1820,TPTE_code_potential_somatic,hsa-mir-218,R-1820,-1.0,1.6500212375792345,-0.2446780878133395,1.1527058357223892e-08,3.4697633915792694,1.6531822073468918,1.0,0.1428571428571428,14,2
1459,TPTE_code_potential_somatic,hsa-mir-30d,R-1459,-1.0,1.5382186060469378,-0.2299397749019707,8.650615453189546e-08,2.8249167246514584,1.356198876811208,1.0,0.0689655172413793,29,2
1820,TPTE_code_potential_somatic,hsa-mir-30d,R-1820,-1.0,1.5382186060469378,-0.2110147426252113,9.49844806482579e-07,3.4697633915792694,1.6531822073468918,1.0,0.0689655172413793,29,2
3072,TPTE_code_potential_somatic,hsa-mir-490,R-3072,-1.0,2.495591885824564,-0.2097984322169917,1.0999824967332496e-06,2.6927116420529824,1.3110016003973657,1.0,0.0857142857142857,35,3
1459,TPTE_code_potential_somatic,hsa-mir-490,R-1459,-1.0,2.495591885824564,-0.2138181406369992,6.750300419806684e-07,2.8249167246514584,1.356198876811208,1.0,0.0857142857142857,35,3
1820,TPTE_code_potential_somatic,hsa-mir-490,R-1820,-1.0,2.495591885824564,-0.2187310190791063,3.668844431864647e-07,3.4697633915792694,1.6531822073468918,1.0,0.0857142857142857,35,3
3072,TPTE_code_potential_somatic,hsa-mir-129,R-3072,-1.0,2.843733309382052,-0.3343283864804157,2.630079498698564e-15,2.6927116420529824,1.3110016003973657,1.0,0.0193548387096774,155,3
1459,TPTE_code_potential_somatic,hsa-mir-129,R-1459,-1.0,2.843733309382052,-0.3434295157589376,4.070624198782062e-16,2.8249167246514584,1.356198876811208,1.0,0.0193548387096774,155,3
1820,TPTE_code_potential_somatic,hsa-mir-129,R-1820,-1.0,2.843733309382052,-0.3487924854747026,1.3169261057702456e-16,3.4697633915792694,1.6531822073468918,1.0,0.0193548387096774,155,3
3072,TPTE_code_potential_somatic,hsa-mir-219,R-3072,-1.0,2.0536721975697896,-0.2546228363385709,2.742702169078984e-09,2.6927116420529824,1.3110016003973657,1.0,0.0975609756097561,41,4
1459,TPTE_code_potential_somatic,hsa-mir-219,R-1459,-1.0,2.0536721975697896,-0.2261456139694034,1.4226871717272404e-07,2.8249167246514584,1.356198876811208,1.0,0.0975609756097561,41,4
1820,TPTE_code_potential_somatic,hsa-mir-219,R-1820,-1.0,2.0536721975697896,-0.2154281370665072,5.536427716603219e-07,3.4697633915792694,1.6531822073468918,1.0,0.0975609756097561,41,4
3012,TPTE_code_potential_somatic,hsa-mir-219,R-3012,-1.0,2.0536721975697896,-0.2712334948215932,2.1683496783670823e-10,2.859956691009005,1.425638961610994,1.0,0.0975609756097561,41,4
