program,hallmark,linScore,wangScore,jiangScore
0,Self_Sufficiency_In_Growth_Signals,1,1,1
0,Insensitivity_To_Antigrowth_Signals,0.932,0.915,0.93
0,Evading_Apoptosis,0.841,0.828,0.871
0,Limitless_Replicative_Potential,1,1,1
0,Sustained_Angiogenesis,1,1,1
0,Tissue_Invasion_And_Metastasis,1,1,1
0,Genome_Instability_And_Mutation,1,1,1
0,Tumor_Promoting_Inflammation,1,1,1
0,Reprogramming_Energy_Metabolism,1,1,1
0,Evading_ImmuneDetection,1,1,1
1,Self_Sufficiency_In_Growth_Signals,1,1,1
1,Insensitivity_To_Antigrowth_Signals,1,1,1
1,Evading_Apoptosis,0.869,0.828,0.882
1,Limitless_Replicative_Potential,0.797,0.601,0.772
1,Sustained_Angiogenesis,1,1,1
1,Tissue_Invasion_And_Metastasis,1,1,1
1,Genome_Instability_And_Mutation,0.963,0.665,0.963
1,Tumor_Promoting_Inflammation,1,1,1
1,Reprogramming_Energy_Metabolism,1,1,1
1,Evading_ImmuneDetection,1,1,1
3,Self_Sufficiency_In_Growth_Signals,1,1,1
3,Insensitivity_To_Antigrowth_Signals,1,1,1
3,Evading_Apoptosis,0.869,0.828,0.882
3,Limitless_Replicative_Potential,1,1,1
3,Sustained_Angiogenesis,1,1,1
3,Tissue_Invasion_And_Metastasis,1,1,1
3,Genome_Instability_And_Mutation,1,1,1
3,Tumor_Promoting_Inflammation,1,1,1
3,Reprogramming_Energy_Metabolism,1,1,1
3,Evading_ImmuneDetection,1,1,1
4,Self_Sufficiency_In_Growth_Signals,1,1,1
4,Insensitivity_To_Antigrowth_Signals,1,1,1
4,Evading_Apoptosis,0.869,0.828,0.882
4,Limitless_Replicative_Potential,0.896,0.756,0.889
4,Sustained_Angiogenesis,1,1,1
4,Tissue_Invasion_And_Metastasis,1,1,1
4,Genome_Instability_And_Mutation,0.91,0.835,0.909
4,Tumor_Promoting_Inflammation,1,1,1
4,Reprogramming_Energy_Metabolism,1,1,1
4,Evading_ImmuneDetection,1,1,1
5,Self_Sufficiency_In_Growth_Signals,1,1,1
5,Insensitivity_To_Antigrowth_Signals,1,1,1
5,Evading_Apoptosis,0.869,0.828,0.882
5,Limitless_Replicative_Potential,1,1,1
5,Sustained_Angiogenesis,1,1,1
5,Tissue_Invasion_And_Metastasis,1,1,1
5,Genome_Instability_And_Mutation,0.969,0.903,0.966
5,Tumor_Promoting_Inflammation,1,1,1
5,Reprogramming_Energy_Metabolism,1,1,1
5,Evading_ImmuneDetection,1,1,1
6,Self_Sufficiency_In_Growth_Signals,1,1,1
6,Insensitivity_To_Antigrowth_Signals,1,1,1
6,Evading_Apoptosis,0.869,0.828,0.882
6,Limitless_Replicative_Potential,0.797,0.601,0.772
6,Sustained_Angiogenesis,1,1,1
6,Tissue_Invasion_And_Metastasis,1,1,1
6,Genome_Instability_And_Mutation,1,1,1
6,Tumor_Promoting_Inflammation,1,1,1
6,Reprogramming_Energy_Metabolism,1,1,1
6,Evading_ImmuneDetection,1,1,1
7,Self_Sufficiency_In_Growth_Signals,1,1,1
7,Insensitivity_To_Antigrowth_Signals,1,1,1
7,Evading_Apoptosis,0.869,0.828,0.882
7,Limitless_Replicative_Potential,1,1,1
7,Sustained_Angiogenesis,1,1,1
7,Tissue_Invasion_And_Metastasis,1,1,1
7,Genome_Instability_And_Mutation,1,1,1
7,Tumor_Promoting_Inflammation,1,1,1
7,Reprogramming_Energy_Metabolism,1,1,1
7,Evading_ImmuneDetection,1,1,1
9,Self_Sufficiency_In_Growth_Signals,1,1,1
9,Insensitivity_To_Antigrowth_Signals,1,1,1
9,Evading_Apoptosis,0.869,0.828,0.882
9,Limitless_Replicative_Potential,0.896,0.756,0.889
9,Sustained_Angiogenesis,1,1,1
9,Tissue_Invasion_And_Metastasis,1,1,1
9,Genome_Instability_And_Mutation,0.963,0.835,0.963
9,Tumor_Promoting_Inflammation,1,1,1
9,Reprogramming_Energy_Metabolism,0.984,0.87,0.983
9,Evading_ImmuneDetection,1,1,1
10,Self_Sufficiency_In_Growth_Signals,1,1,1
10,Insensitivity_To_Antigrowth_Signals,0.932,0.915,0.93
10,Evading_Apoptosis,0.869,0.828,0.882
10,Limitless_Replicative_Potential,1,1,1
10,Sustained_Angiogenesis,1,1,1
10,Tissue_Invasion_And_Metastasis,1,1,1
10,Genome_Instability_And_Mutation,0.839,0.833,0.84
10,Tumor_Promoting_Inflammation,1,1,1
10,Reprogramming_Energy_Metabolism,1,1,1
10,Evading_ImmuneDetection,1,1,1
11,Self_Sufficiency_In_Growth_Signals,1,1,1
11,Insensitivity_To_Antigrowth_Signals,1,1,1
11,Evading_Apoptosis,0.869,0.828,0.882
11,Limitless_Replicative_Potential,0.797,0.601,0.772
11,Sustained_Angiogenesis,1,1,1
11,Tissue_Invasion_And_Metastasis,1,1,1
11,Genome_Instability_And_Mutation,1,1,1
11,Tumor_Promoting_Inflammation,1,1,1
11,Reprogramming_Energy_Metabolism,1,1,1
11,Evading_ImmuneDetection,1,1,1
12,Self_Sufficiency_In_Growth_Signals,1,1,1
12,Insensitivity_To_Antigrowth_Signals,1,1,1
12,Evading_Apoptosis,0.869,0.751,0.882
