regulon,hallmark,linScore,wangScore,jiangScore
0,Self_Sufficiency_In_Growth_Signals,1,1,1
0,Insensitivity_To_Antigrowth_Signals,1,1,1
0,Evading_Apoptosis,0.685,0.828,0.64
0,Limitless_Replicative_Potential,1,1,1
0,Sustained_Angiogenesis,0.638,0.682,0.63
0,Tissue_Invasion_And_Metastasis,0.947,0.82,0.955
0,Genome_Instability_And_Mutation,1,1,1
0,Tumor_Promoting_Inflammation,0.726,0.491,0.742
0,Reprogramming_Energy_Metabolism,0.927,0.643,0.919
0,Evading_ImmuneDetection,0.744,0.831,0.81
1,Self_Sufficiency_In_Growth_Signals,0.603,0.809,0.756
1,Insensitivity_To_Antigrowth_Signals,0.603,0.809,0.756
1,Evading_Apoptosis,0.826,0.751,0.841
1,Limitless_Replicative_Potential,0.768,0.626,0.748
1,Sustained_Angiogenesis,0.606,0.457,0.53
1,Tissue_Invasion_And_Metastasis,0.783,0.701,0.78
1,Genome_Instability_And_Mutation,0.787,0.679,0.774
1,Tumor_Promoting_Inflammation,0.476,0.41,0.456
1,Reprogramming_Energy_Metabolism,0.561,0.394,0.545
1,Evading_ImmuneDetection,0.357,0.388,0.528
2,Self_Sufficiency_In_Growth_Signals,1,1,1
2,Insensitivity_To_Antigrowth_Signals,0.783,0.77,0.796
2,Evading_Apoptosis,0.404,0.467,0.383
2,Limitless_Replicative_Potential,0.942,0.562,0.94
2,Sustained_Angiogenesis,0.643,0.566,0.614
2,Tissue_Invasion_And_Metastasis,0.569,0.549,0.627
2,Genome_Instability_And_Mutation,0.906,0.637,0.917
2,Tumor_Promoting_Inflammation,0.691,0.401,0.695
2,Reprogramming_Energy_Metabolism,0.68,0.471,0.648
2,Evading_ImmuneDetection,0.514,0.456,0.576
3,Self_Sufficiency_In_Growth_Signals,0.804,0.885,0.849
3,Insensitivity_To_Antigrowth_Signals,1,1,1
3,Evading_Apoptosis,0.492,0.448,0.569
3,Limitless_Replicative_Potential,0.676,0.614,0.688
3,Sustained_Angiogenesis,0.733,0.665,0.747
3,Tissue_Invasion_And_Metastasis,0.569,0.543,0.627
3,Genome_Instability_And_Mutation,1,1,1
3,Tumor_Promoting_Inflammation,0.726,0.455,0.742
3,Reprogramming_Energy_Metabolism,0.58,0.342,0.554
3,Evading_ImmuneDetection,0.544,0.5,0.623
4,Self_Sufficiency_In_Growth_Signals,1,1,1
4,Insensitivity_To_Antigrowth_Signals,0.837,0.771,0.792
4,Evading_Apoptosis,0.466,0.467,0.52
4,Limitless_Replicative_Potential,0.653,0.517,0.654
4,Sustained_Angiogenesis,0.443,0.321,0.349
4,Tissue_Invasion_And_Metastasis,0.938,0.831,0.947
4,Genome_Instability_And_Mutation,0.762,0.932,0.748
4,Tumor_Promoting_Inflammation,0.42,0.252,0.389
4,Reprogramming_Energy_Metabolism,1,1,1
4,Evading_ImmuneDetection,0.247,0.271,0.323
5,Self_Sufficiency_In_Growth_Signals,0.909,0.809,0.911
5,Insensitivity_To_Antigrowth_Signals,1,1,1
5,Evading_Apoptosis,0.492,0.467,0.569
5,Limitless_Replicative_Potential,1,1,1
5,Sustained_Angiogenesis,0.638,0.47,0.606
5,Tissue_Invasion_And_Metastasis,0.781,0.579,0.746
5,Genome_Instability_And_Mutation,1,1,1
5,Tumor_Promoting_Inflammation,0.882,0.746,0.907
5,Reprogramming_Energy_Metabolism,0.562,0.389,0.543
5,Evading_ImmuneDetection,0.882,0.746,0.907
