Regulon,RMST_Under_minus_Over,pvalue,RMST_Under,RMST_Over
0,-12.9,0.877,610.429384935151,623.354632753369
1,-56.5,0.738,647.156413695251,703.645557568458
2,66.2,0.599,688.324114595724,622.159818506752
3,53.5,0.727,711.824544270834,658.304302040079
4,-13.3,0.909,555.402327597706,568.693019386574
5,134,0.122,620.972773473938,486.678511381897
6,-32.9,0.656,594.140006801062,627.069878933894
7,-69.3,0.391,564.632701713215,633.896409749356
8,-137,0.173,584.934404356683,722.34794006151
9,-33.3,0.703,595.809644897043,629.080151816875
10,-82.3,0.291,549.115736813368,631.413328235485
11,154,0.249,719.299966821754,564.839178468883
12,270,0.00502,787.111363916122,517.003993935172
13,224,0.108,766.604444444444,542.61253287806
14,-69.3,0.363,572.135030299255,641.417961465798
15,48.8,0.594,624.666878729379,575.839273521187
16,-175,0.072,537.169404016394,712.338314841704
17,78.4,0.381,598.292292607014,519.905631049787
18,90.2,0.433,654.253453513915,564.094627464651
19,-65.8,0.532,565.74775810013,631.543307596135
20,-140,0.274,553.793714285714,694.037127426325
21,-138,0.167,569.430258032579,707.858644297895
22,-23.9,0.822,664.762553559086,688.703338629759
23,188,0.103,696.156347134683,508.111217220321
24,185,0.0886,659.813108766234,474.646460792343
25,176,0.287,788.144495471485,612.504243414538
26,-155,0.428,656.6395173454,811.745116642774
27,349,0.0368,904.651315789474,555.760883690708
28,69.9,0.563,622.466779281789,552.579932208653
29,445,0.0112,929.11165611422,484.283843423426
30,-26.6,0.768,508.07355146376,534.711096112453
31,101,0.371,643.596431022649,542.342611573422
32,-270,0.0405,531.762998355604,801.497385365854
33,-72.2,0.335,572.601520275227,644.761410376532
34,119,0.344,756.890731468785,637.695970534525
35,-145,0.148,521.975141554942,666.84544971079
36,246,0.0496,699.619452887538,453.141932957393
37,-174,0.271,657.186738201412,831.495536130085
38,-114,0.12,486.212069720276,599.768012173355
39,-173,0.0702,443.842377260982,616.487528216051
40,214,0.111,783.999890016092,570.06123659907
41,-59.6,0.431,572.344141471227,631.913374520674
42,-283,0.00911,467.195207429652,750.181961664857
43,-140,0.0915,485.601814904286,625.626520069289
44,12.1,0.926,605.141400147045,593.056145830762
45,148,0.114,558.809385447089,410.585664615098
46,-353,0.00067,393.516093229745,746.355681131639
47,22.6,0.874,601.92981648315,579.305175618306
48,7.33,0.958,575.739676515768,568.409515123879
49,-182,0.0381,474.308950765549,656.004162052579
50,59.3,0.583,639.594788543418,580.322803128766
51,-155,0.277,570.954311454311,725.896011346766
52,-119,0.284,452.268261150614,571.628749254511
53,227,0.23,787.890754357298,560.702418047322
54,-91.2,0.209,550.935634253483,642.163940743197
55,-19.6,0.82,590.922464639504,610.558971403686
56,-57.3,0.502,565.025934718109,622.331998554835
57,31.9,0.701,600.528489033462,568.604150337726
58,-49.8,0.666,639.477375897707,689.227481165575
59,-210,0.00694,495.9358586862,705.45836371832
60,25.5,0.734,511.141581712172,485.651751659514
61,252,0.00831,694.466963035808,442.288092764305
62,242,0.0378,756.550844423921,514.248626153493
63,-133,0.182,540.158549724133,672.785682888371
64,-23.2,0.867,687.555947962422,710.797010808357
65,65.2,0.624,631.816906537305,566.58945037534
66,-33.5,0.774,596.139039515861,629.64258026101
67,18.6,0.901,560.186928104575,541.571296928004
68,-104,0.329,495.940741839423,600.038066551346
69,-162,0.186,562.209784079419,723.866967696217
70,-120,0.32,537.030953510436,656.890584172023
71,-115,0.382,592.929626624245,707.962105176472
72,194,0.0929,748.01124307873,553.83333557333
73,121,0.229,652.429507819264,531.529438462714
74,-73.8,0.39,511.22598828614,584.993655302321
75,-196,0.0365,488.387149854726,684.083278844214
76,-153,0.0974,478.661429350791,631.903937641172
77,85.6,0.415,612.431126136303,526.806432320355
78,-67,0.506,494.684916696207,561.6495944416
79,-38.9,0.606,573.716544185161,612.624531497108
80,-35.9,0.712,563.097006746374,598.957797682601
81,-29.9,0.763,588.936063031039,618.844456916034
82,-177,0.201,610.951031613279,788.227295503198
83,-71.2,0.265,519.870319826827,591.116093517421
84,-54,0.639,524.012252747253,577.967892905879
85,-69.3,0.628,629.500563908931,698.836648188278
86,143,0.0555,668.967242168443,526.073373053651
87,-62.2,0.586,513.729486843459,575.972222222222
88,-157,0.461,559.66,717.146281444099
89,185,0.242,646.522074083465,461.307151301074
90,70.3,0.469,602.915419574437,532.653019349102
91,-70.9,0.484,506.973679626227,577.860467523713
92,-259,0.165,559.765647396082,818.4403076153
93,143,0.0726,712.179351581814,569.350671973512
94,-553,0.002,531.348415132993,1084.64402042908
95,-75,0.472,477.000744186046,551.959935897436
96,142,0.283,702.671888236032,560.888404806796
97,172,0.0391,737.216389141915,564.81751589196
98,-117,0.318,535.794595291649,652.546783153746
99,249,0.0367,825.012924858743,575.617931074724
100,-98.4,0.328,585.23267705022,683.623305725331
101,96.4,0.328,670.328066148227,573.920447871678
102,168,0.177,722.484981684982,554.686882411067
103,99.6,0.374,545.929313482217,446.360414177619
104,225,0.0405,614.660909444268,389.62832594235
105,49.9,0.705,541.947368421052,492.012747407907
106,199,0.19,742.91523229625,543.824746750141
107,245,0.0283,720.092845801318,474.827138988784
108,127,0.142,708.728377634922,581.281638440455
109,129,0.217,654.211900670226,524.713010726361
110,-264,0.0596,400.045454545454,664.053971083383
111,353,0.00935,841.815336262231,489.304478877872
112,111,0.151,694.238716376273,583.21655825481
113,122,0.114,645.247644994139,523.282904909173
114,218,0.0149,761.84952032517,543.945976393529
115,170,0.0468,717.432841070004,547.307398131288
116,-43.6,0.656,603.724822505321,647.305934560669
117,136,0.0962,672.098557436651,536.583924291782
118,234,0.0103,745.266639836096,511.105195504103
119,188,0.0818,761.147863047684,573.206535614971
120,214,0.0251,709.289701375022,494.882513965788
121,169,0.116,697.869078709472,528.46322487596
122,37.9,0.697,654.769361246285,616.901217122374
123,330,4e-04,815.742839237652,485.986627130995
124,54.5,0.748,756.817239198256,702.29559579259
125,236,0.0877,745.418546674735,509.350320021904
126,-21.5,0.873,597.629239731808,619.13033233701
127,-113,0.329,502.602089268756,615.521665818527
128,-41.7,0.764,650.211109625668,691.880422294888
129,159,0.2,665.138294015558,506.277884431001
130,38.1,0.693,644.850097337595,606.726709164158
131,-42.3,0.606,512.123974853918,554.423742747942
132,-36.4,0.721,590.129027854406,626.502021263396
133,292,0.0379,848.306414161795,555.808044591312
134,425,0.0144,872.639385509302,447.623062375992
135,-10.2,0.911,451.612903225806,461.802234161663
136,203,0.0656,708.145380816214,505.080539405879
137,113,0.142,688.507995975562,575.439239999065
138,285,0.0107,833.610744965701,548.799724097163
139,130,0.165,660.386135303297,530.229665643949
140,123,0.186,679.780627022118,556.885766440011
141,267,0.0144,806.258313667366,538.807284555051
142,380,0.00158,899.637736435573,520.067389368445
143,88.1,0.417,647.256991471361,559.17864807921
144,118,0.249,698.074483497549,580.02032827132
145,379,0.00729,848.587863175493,469.270531400966
146,132,0.174,670.816101690187,538.78697192864
147,10.7,0.93,551.778943501874,541.03980285422
148,-648,7.12e-06,425.188358784967,1072.84854661184
149,283,0.00179,789.263972085109,506.104348815867
150,266,0.00717,803.366298810717,537.143395200057
151,165,0.108,660.341119167563,495.050282844348
152,371,0.0209,860.915083645792,489.879222633825
153,139,0.136,675.240173795558,536.355253072328
154,-97.6,0.622,662.987740251757,760.587225274725
155,236,0.0495,706.738131462219,471.229467754468
156,372,0.0161,922.229305561257,550.271434046209
157,305,0.0165,797.960215529977,492.562156784191
158,124,0.105,681.467339904179,557.79750045255
159,175,0.0368,680.428303449512,504.995121597066
160,218,0.0373,765.092257867314,546.839648741914
161,160,0.0904,717.766337733075,557.276947196127
162,125,0.254,666.714828310354,541.931002038953
163,-238,0.0591,548.792166342413,787.222405738611
164,122,0.224,692.269221165846,570.346647585895
165,173,0.134,762.18993959116,589.536391619665
166,424,0.00208,876.802255042735,453.085468777889
167,240,0.0488,764.831623616473,524.387307032475
