,Programs,Genes
0,0,ENSG00000121966
1,0,ENSG00000117335
2,0,ENSG00000120708
3,0,ENSG00000153250
4,0,ENSG00000102007
5,0,ENSG00000126903
6,0,ENSG00000070540
7,0,ENSG00000182718
8,0,ENSG00000135535
9,0,ENSG00000134470
10,0,ENSG00000158710
11,0,ENSG00000136732
12,0,ENSG00000163466
13,0,ENSG00000107960
14,0,ENSG00000049860
15,0,ENSG00000104756
16,0,ENSG00000183696
17,0,ENSG00000197747
18,0,ENSG00000153113
19,0,ENSG00000182240
20,0,ENSG00000148175
21,0,ENSG00000085063
22,0,ENSG00000265808
23,0,ENSG00000160213
24,0,ENSG00000159322
25,0,ENSG00000064012
26,0,ENSG00000150093
27,0,ENSG00000239264
28,0,ENSG00000214063
29,0,ENSG00000140575
30,0,ENSG00000243646
31,0,ENSG00000176014
32,0,ENSG00000061656
33,0,ENSG00000123728
34,0,ENSG00000138071
35,0,ENSG00000131724
36,0,ENSG00000110852
37,0,ENSG00000134285
38,0,ENSG00000085491
39,0,ENSG00000102265
40,0,ENSG00000275779
41,0,ENSG00000100097
42,0,ENSG00000196975
43,0,ENSG00000135046
44,0,ENSG00000034510
45,0,ENSG00000126458
46,0,ENSG00000006327
47,0,ENSG00000074695
48,0,ENSG00000166401
49,0,ENSG00000170266
50,0,ENSG00000102871
51,0,ENSG00000103876
52,0,ENSG00000165806
53,0,ENSG00000149591
54,0,ENSG00000108518
55,0,ENSG00000084234
56,0,ENSG00000076043
57,0,ENSG00000136371
58,0,ENSG00000128595
59,0,ENSG00000076662
60,0,ENSG00000101335
61,0,ENSG00000102359
62,0,ENSG00000142867
63,0,ENSG00000110719
64,0,ENSG00000213064
65,0,ENSG00000262795
66,0,ENSG00000139329
67,1,ENSG00000106366
68,1,ENSG00000117143
69,1,ENSG00000140563
70,1,ENSG00000118257
71,1,ENSG00000153250
72,1,ENSG00000107159
73,1,ENSG00000160211
74,1,ENSG00000152952
75,1,ENSG00000091136
76,1,ENSG00000148848
77,1,ENSG00000167987
78,1,ENSG00000035687
79,1,ENSG00000154734
80,1,ENSG00000119514
81,1,ENSG00000102024
82,1,ENSG00000112893
83,1,ENSG00000074410
84,1,ENSG00000152061
85,1,ENSG00000143479
86,1,ENSG00000164949
87,1,ENSG00000185567
88,1,ENSG00000283085
89,1,ENSG00000159267
90,1,ENSG00000082781
91,1,ENSG00000115641
92,1,ENSG00000111885
93,1,ENSG00000187210
94,1,ENSG00000058262
95,1,ENSG00000155313
96,1,ENSG00000204262
97,1,ENSG00000116977
98,1,ENSG00000099250
99,1,ENSG00000167460
100,1,ENSG00000068366
101,1,ENSG00000141448
102,1,ENSG00000134996
103,1,ENSG00000180801
104,1,ENSG00000162413
105,1,ENSG00000278183
106,1,ENSG00000072682
107,1,ENSG00000184216
108,1,ENSG00000166340
109,1,ENSG00000113441
110,1,ENSG00000110218
111,2,ENSG00000170961
112,2,ENSG00000136044
113,2,ENSG00000136051
114,2,ENSG00000113916
115,2,ENSG00000129116
116,2,ENSG00000034677
117,2,ENSG00000140937
118,2,ENSG00000137710
119,3,ENSG00000108846
120,3,ENSG00000113273
121,3,ENSG00000126561
122,3,ENSG00000136630
123,3,ENSG00000213639
124,3,ENSG00000171298
125,3,ENSG00000138821
126,3,ENSG00000091136
127,3,ENSG00000177663
128,3,ENSG00000107796
129,3,ENSG00000169715
130,3,ENSG00000165102
131,3,ENSG00000105329
132,3,ENSG00000179583
133,3,ENSG00000171522
134,3,ENSG00000134755
135,3,ENSG00000004399
136,3,ENSG00000143878
137,3,ENSG00000054611
138,3,ENSG00000168306
139,3,ENSG00000168386
140,3,ENSG00000244509
141,3,ENSG00000011105
142,3,ENSG00000155850
143,3,ENSG00000185624
144,3,ENSG00000182158
145,3,ENSG00000047457
146,3,ENSG00000122786
147,3,ENSG00000143641
148,3,ENSG00000171631
149,3,ENSG00000141458
150,3,ENSG00000162745
151,3,ENSG00000177469
152,3,ENSG00000115935
153,3,ENSG00000162576
154,3,ENSG00000203797
155,3,ENSG00000010327
156,3,ENSG00000108582
157,3,ENSG00000174807
158,3,ENSG00000111252
159,3,ENSG00000135956
160,3,ENSG00000131238
