,Programs,Regulons
0,0,99
1,0,114
2,0,138
3,0,175
4,0,209
5,0,248
6,0,258
7,0,276
8,0,294
9,0,349
10,0,357
11,0,375
12,0,418
13,0,445
14,0,648
15,0,848
16,0,991
17,0,1068
18,0,1100
19,0,1271
20,0,1300
21,0,1356
22,0,1517
23,0,1550
24,0,1660
25,0,1676
26,0,1813
27,0,1904
28,0,1925
29,0,1932
30,0,1980
31,0,2100
32,0,2113
33,0,2317
34,0,2348
35,0,2358
36,0,2452
37,0,2474
38,0,2498
39,0,2509
40,0,2539
41,0,2589
42,0,2687
43,0,2746
44,0,2825
45,0,2863
46,0,2982
47,0,3039
48,0,3069
49,0,3073
50,0,3090
51,0,3103
52,0,3120
53,0,3127
54,0,3133
55,0,3149
56,0,3152
57,0,3156
58,0,3161
59,0,3337
60,0,3577
61,1,12
62,1,167
63,1,362
64,1,385
65,1,582
66,1,632
67,1,683
68,1,856
69,1,980
70,1,1046
71,1,1073
72,1,1133
73,1,1170
74,1,1252
75,1,1279
76,1,1308
77,1,1331
78,1,1346
79,1,1495
80,1,1506
81,1,1651
82,1,1809
83,1,1818
84,1,1886
85,1,1912
86,1,2005
87,1,2053
88,1,2268
89,1,2309
90,1,2322
91,1,2333
92,1,2364
93,1,2438
94,1,2543
95,1,2612
96,1,2620
97,1,2762
98,1,2811
99,1,2954
100,1,3016
101,1,3037
102,1,3066
103,1,3107
104,1,3168
105,1,3264
106,1,3291
107,1,3379
108,1,3552
109,1,3563
110,1,3781
111,2,135
112,2,268
113,2,594
114,2,639
115,2,731
116,2,784
117,2,987
118,2,1151
119,2,1180
120,2,1216
121,2,1235
122,2,1282
123,2,1316
124,2,1538
125,2,1587
126,2,1665
127,2,1714
128,2,1801
129,2,1823
130,2,1844
131,2,1960
132,2,2014
133,2,2064
134,2,2187
135,2,2388
136,2,2424
137,2,2463
138,2,2600
139,2,2636
140,2,2664
141,2,2676
142,2,2700
143,2,2822
144,2,2854
145,2,2880
146,2,2902
147,2,2934
148,2,2956
149,2,2970
150,2,3239
151,2,3302
152,2,3333
153,2,3728
154,2,3745
155,3,118
156,3,162
157,3,179
158,3,197
159,3,358
160,3,378
161,3,420
162,3,510
163,3,578
